,SimpleRandom,Systematic,Stratified,Cluster,Bootstrap
RandomForest,0.974025974025974,1.0,0.974025974025974,0.9736842105263158,0.987012987012987
LogisticRegression,0.8961038961038961,0.8823529411764706,0.8961038961038961,0.9078947368421053,0.974025974025974
SVM,0.6493506493506493,0.7352941176470589,0.7272727272727273,0.8026315789473685,0.6623376623376623
DecisionTree,0.948051948051948,0.9901960784313726,0.8961038961038961,0.9342105263157895,0.974025974025974
KNN,0.7922077922077922,0.8235294117647058,0.7142857142857143,0.881578947368421,0.8571428571428571
